student_ID,course_ID,semester_ID
1,9,1
1,13,2
1,3,3
1,7,4
1,5,5
1,8,6
1,6,7
1,12,8
1,14,9
1,11,10
1,18,11
1,15,12
2,12,1
2,1,2
2,4,3
2,16,4
2,8,5
2,5,6
2,14,7
2,3,8
2,2,9
2,6,10
2,18,11
2,9,12
3,4,1
3,16,2
3,9,3
3,13,4
3,17,5
3,6,6
3,8,7
3,14,8
3,3,9
3,11,10
3,15,11
3,10,12
4,4,1
4,16,2
4,9,3
4,13,4
4,14,5
4,11,6
4,2,7
4,15,8
4,5,9
4,10,10
4,17,11
4,8,12
5,4,1
5,16,2
5,12,3
5,1,4
5,18,5
5,14,6
5,9,7
5,17,8
5,8,9
5,5,10
5,6,11
5,11,12
6,4,1
6,16,2
6,12,3
6,1,4
6,8,5
6,5,6
6,14,7
6,11,8
6,18,9
6,10,10
6,15,11
6,2,12
7,9,1
7,13,2
7,12,3
7,1,4
7,11,5
7,10,6
7,18,7
7,8,8
7,4,9
7,2,10
7,5,11
7,15,12
8,9,1
8,13,2
8,3,3
8,7,4
8,14,5
8,11,6
8,10,7
8,4,8
8,15,9
8,18,10
8,12,11
8,17,12
9,12,1
9,1,2
9,3,3
9,7,4
9,5,5
9,10,6
9,11,7
9,6,8
9,18,9
9,14,10
9,8,11
9,9,12
10,9,1
10,13,2
10,12,3
10,1,4
10,18,5
10,10,6
10,17,7
10,3,8
10,6,9
10,14,10
10,8,11
10,15,12
11,9,1
11,13,2
11,12,3
11,1,4
11,2,5
11,6,6
11,8,7
11,10,8
11,18,9
11,17,10
11,14,11
11,4,12
12,3,1
12,7,2
12,4,3
12,16,4
12,12,5
12,5,6
12,17,7
12,8,8
12,18,9
12,9,10
12,15,11
12,2,12
13,12,1
13,1,2
13,9,3
13,13,4
13,2,5
13,5,6
13,6,7
13,10,8
13,14,9
13,8,10
13,11,11
13,3,12
14,4,1
14,16,2
14,9,3
14,13,4
14,17,5
14,12,6
14,5,7
14,8,8
14,6,9
14,3,10
14,15,11
14,2,12
15,9,1
15,13,2
15,4,3
15,16,4
15,3,5
15,5,6
15,10,7
15,11,8
15,2,9
15,14,10
15,17,11
15,6,12
16,4,1
16,16,2
16,3,3
16,7,4
16,6,5
16,11,6
16,15,7
16,17,8
16,2,9
16,14,10
16,12,11
16,18,12
17,9,1
17,13,2
17,12,3
17,1,4
17,17,5
17,5,6
17,14,7
17,18,8
17,10,9
17,4,10
17,3,11
17,11,12
18,9,1
18,13,2
18,4,3
18,16,4
18,8,5
18,12,6
18,6,7
18,10,8
18,3,9
18,14,10
18,5,11
18,2,12
19,4,1
19,16,2
19,3,3
19,7,4
19,9,5
19,5,6
19,11,7
19,17,8
19,15,9
19,8,10
19,12,11
19,2,12
20,4,1
20,16,2
20,3,3
20,7,4
20,5,5
20,11,6
20,6,7
20,14,8
20,10,9
20,18,10
20,17,11
20,15,12
21,4,1
21,16,2
21,9,3
21,13,4
21,14,5
21,3,6
21,15,7
21,6,8
21,12,9
21,2,10
21,8,11
21,17,12
22,3,1
22,7,2
22,12,3
22,1,4
22,4,5
22,10,6
22,9,7
22,6,8
22,18,9
22,8,10
22,2,11
22,17,12
23,12,1
23,1,2
23,4,3
23,16,4
23,11,5
23,18,6
23,10,7
23,2,8
23,8,9
23,3,10
23,14,11
23,15,12
24,3,1
24,7,2
24,9,3
24,13,4
24,8,5
24,17,6
24,15,7
24,6,8
24,10,9
24,14,10
24,5,11
24,4,12
25,4,1
25,16,2
25,9,3
25,13,4
25,11,5
25,18,6
25,15,7
25,10,8
25,2,9
25,12,10
25,3,11
25,5,12
26,9,1
26,13,2
26,12,3
26,1,4
26,11,5
26,2,6
26,6,7
26,5,8
26,10,9
26,15,10
26,14,11
26,4,12
27,9,1
27,13,2
27,12,3
27,1,4
27,17,5
27,18,6
27,14,7
27,5,8
27,6,9
27,10,10
27,4,11
27,3,12
28,12,1
28,1,2
28,3,3
28,7,4
28,10,5
28,11,6
28,4,7
28,17,8
28,8,9
28,6,10
28,15,11
28,14,12
29,4,1
29,16,2
29,3,3
29,7,4
29,14,5
29,12,6
29,17,7
29,8,8
29,5,9
29,18,10
29,10,11
29,11,12
30,4,1
30,16,2
30,3,3
30,7,4
30,11,5
30,18,6
30,17,7
30,8,8
30,2,9
30,15,10
30,14,11
30,5,12
31,3,1
31,7,2
31,9,3
31,13,4
31,10,5
31,18,6
31,4,7
31,5,8
31,11,9
31,2,10
31,6,11
31,14,12
32,9,1
32,13,2
32,3,3
32,7,4
32,6,5
32,18,6
32,11,7
32,17,8
32,12,9
32,14,10
32,4,11
32,2,12
33,4,1
33,16,2
33,9,3
33,13,4
33,11,5
33,2,6
33,14,7
33,8,8
33,5,9
33,6,10
33,15,11
33,3,12
34,3,1
34,7,2
34,9,3
34,13,4
34,14,5
34,8,6
34,18,7
34,15,8
34,17,9
34,6,10
34,10,11
34,5,12
35,12,1
35,1,2
35,4,3
35,16,4
35,6,5
35,11,6
35,17,7
35,8,8
35,15,9
35,3,10
35,18,11
35,10,12
36,12,1
36,1,2
36,3,3
36,7,4
36,2,5
36,18,6
36,17,7
36,8,8
36,11,9
36,9,10
36,15,11
36,10,12
37,12,1
37,1,2
37,4,3
37,16,4
37,5,5
37,11,6
37,8,7
37,3,8
37,9,9
37,15,10
37,18,11
37,14,12
38,4,1
38,16,2
38,9,3
38,13,4
38,18,5
38,6,6
38,10,7
38,17,8
38,3,9
38,2,10
38,12,11
38,5,12
39,12,1
39,1,2
39,4,3
39,16,4
39,18,5
39,6,6
39,5,7
39,14,8
39,15,9
39,10,10
39,9,11
39,8,12
40,12,1
40,1,2
40,4,3
40,16,4
40,18,5
40,17,6
40,8,7
40,2,8
40,14,9
40,6,10
40,5,11
40,11,12
41,12,1
41,1,2
41,9,3
41,13,4
41,5,5
41,4,6
41,3,7
41,2,8
41,11,9
41,8,10
41,15,11
41,18,12
42,12,1
42,1,2
42,3,3
42,7,4
42,10,5
42,18,6
42,14,7
42,6,8
42,9,9
42,15,10
42,17,11
42,5,12
43,4,1
43,16,2
43,3,3
43,7,4
43,15,5
43,2,6
43,9,7
43,17,8
43,6,9
43,8,10
43,5,11
43,12,12
44,9,1
44,13,2
44,3,3
44,7,4
44,17,5
44,11,6
44,10,7
